宝贝ID,商家编码,行业类目,宝贝标题,宝贝链接,浏览量,访客数,销售额,成交宝贝数,交易笔数,转化率,入口数,出口数,跳失率,停留时间,收藏量,新增购物车人数,新增购物车宝贝件数,退款额,退货量,退款率,搜索UV,PC端类目UV,PC端收藏UV,PC端直通车UV,PC端淘宝客UV,浏览量（PC）,访客数（PC）,销售额（PC）,成交宝贝数（PC）,交易笔数（PC）,转化率（PC）,入口数（PC）,出口数（PC）,跳失率（PC）,停留时间（PC）,搜索UV（PC）,浏览量（手机）,访客数（手机）,销售额（手机）,成交宝贝数（手机）,交易笔数（手机）,转化率（手机）,入口数（手机）,出口数（手机）,跳失率（手机）,停留时间（手机）,搜索UV（手机）,访客数（老客）,销售额（老客）,成交宝贝数（老客）,交易笔数（老客）,转化率（老客）
5.41507E+11,AW446,女装/女士精品 -> 毛呢外套,秋冬新款韩国白色羊毛呢子大衣女茧型中长款过膝毛呢外套中长款潮,http://item.taobao.com/item.htm?id=541506755831,48,41,0,0,0,0%,4,7,75%,30,3,0,0,0,0,0%,8,0,0,0,0,1,1,0,0,0,0%,0,0,0%,1,0,47,40,0,0,0,0%,4,7,75%,32,8,7,0,0,0,0%
5.41507E+11,AW427,女装/女士精品 -> 毛呢外套,2017秋冬新款红色毛呢大衣女纯色呢子外套中长款西装领过膝加厚,http://item.taobao.com/item.htm?id=541506927503,44,41,0,0,0,0%,6,7,83.30%,26,0,0,0,0,0,0%,6,0,0,0,1,2,2,0,0,0,0%,1,1,100%,1,0,42,39,0,0,0,0%,5,6,80%,26,6,2,0,0,0,0%
5.41507E+11,AW428,女装/女士精品 -> 毛呢外套,喇叭袖灰色毛呢大衣女宽松中长款羊毛呢子外套双排扣超长款加厚,http://item.taobao.com/item.htm?id=541507123349,50,44,0,0,0,0%,15,16,80%,29,3,0,0,0,0,0%,5,0,0,0,0,1,1,0,0,0,0%,0,0,0%,6,0,49,43,0,0,0,0%,15,16,80%,28,5,5,0,0,0,0%
5.41507E+11,AW419,女装/女士精品 -> 毛呢外套,2017冬季毛呢外套女驼色开衩大衣中长款西装领呢子外套保暖加厚,http://item.taobao.com/item.htm?id=541507123425,10,9,0,0,0,0%,2,0,0%,19,0,0,0,0,0,0%,0,0,0,0,0,1,1,0,0,0,0%,0,0,0%,11,0,9,8,0,0,0,0%,2,0,0%,18,0,1,0,0,0,0%
5.41507E+11,AW423,女装/女士精品 -> 棉衣/棉服,2017冬季新款大翻领中长款加厚棉衣外套姜黄色棉服女大棉袄面包服,http://item.taobao.com/item.htm?id=541507223048,8,6,0,0,0,0%,5,4,80%,6,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,8,6,0,0,0,0%,5,4,80%,6,0,0,0,0,0,0%
5.41903E+11,YF002,女装/女士精品 -> 毛呢外套,韩国高端定制双面羊绒大衣军绿色中长款毛呢羊毛呢子外套廓形女冬,http://item.taobao.com/item.htm?id=541902968200,31,27,0,0,0,0%,2,2,100%,76,0,0,0,0,0,0%,3,0,0,0,0,1,1,0,0,0,0%,0,0,0%,0,0,30,26,0,0,0,0%,2,2,100%,78,3,1,0,0,0,0%
5.43038E+11,AW476,女装/女士精品 -> 毛呢外套,2017冬装新款呢子大衣韩范中长款拼色收腰加厚毛呢外套红色大衣女,http://item.taobao.com/item.htm?id=543037996515,1,1,0,0,0,0%,1,1,100%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,1,1,0,0,0,0%,1,1,100%,0,0,0,0,0,0,0%
5.43618E+11,AW404,女装/女士精品 -> 棉衣/棉服,棉服中长款过膝加厚面包服棉衣女欧美风毛领外套超长款棉袄大衣潮,http://item.taobao.com/item.htm?id=543618116293,50,38,0,0,0,0%,3,4,33.30%,79,5,0,0,0,0,0%,4,0,0,0,0,1,1,0,0,0,0%,0,0,0%,4,0,49,37,0,0,0,0%,3,4,33.30%,80,4,0,0,0,0,0%
5.43841E+11,AW398,女装/女士精品 -> 毛呢外套,红色羊毛呢子大衣领欧美风秋冬大翻中长款宽松羊毛毛呢休闲外套女,http://item.taobao.com/item.htm?id=543841474914,136,109,278,1,1,0.92%,8,12,62.50%,96,2,0,0,0,0,0%,30,0,0,0,0,1,1,0,0,0,0%,0,0,0%,0,0,135,108,278,1,1,0.93%,8,12,62.50%,97,30,5,0,0,0,0%
5.43948E+11,AW117_1,女装/女士精品 -> 毛呢外套,军绿色毛呢外套茧型呢子大衣女中长款2017秋冬韩国羊毛大衣宽松潮,http://item.taobao.com/item.htm?id=543948229633,61,46,0,0,0,0%,0,1,0%,68,2,0,0,0,0,0%,7,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,61,46,0,0,0,0%,0,1,0%,68,7,3,0,0,0,0%
